2014/V433/1/V4333C2.laz;2017-06-20;21:43:13.0000000000;103768;2016-09-13 07:13:59;106251
2011/Q522/1/Q5224G1.laz;2017-06-20;18:49:36.0000000000;57412
2014/X511/1/X5112F4_added_pts.laz;2017-06-20;21:47:28.0000000000;4
2008/M342/1/M3421G2.laz;2017-06-20;16:45:35.0000000000;62096
2015/R522/1/R5223D3_added_pts.laz;2017-06-20;22:14:38.0000000000;8
2012/N411/1/N4113C1.laz;2017-06-20;19:28:36.0000000000;49904
2009/L411/1/L4112G2.laz;2017-06-20;16:58:40.0000000000;35364
2013/N334/1/N3342H2.laz;2017-06-20;20:38:25.0000000000;31176
2012/M522/1/M5223E2.laz;2017-06-20;19:28:01.0000000000;42668
2011/N542/1/N5421D3.laz;2017-06-20;18:38:44.0000000000;53288
2011/P441/1/P4413E2.laz;2017-06-20;18:42:36.0000000000;34072
2013/N413/1/N4132G3.laz;2017-06-20;20:44:41.0000000000;36232
2009/L524/1/L5242C1.laz;2017-06-20;17:01:16.0000000000;66196
2010/S441/1/S4411G1.laz;2017-06-20;18:21:05.0000000000;38876
2012/P523/1/P5233E4.laz;2017-06-20;19:40:57.0000000000;65712
2013/N333/1/N3331F4.laz;2017-06-20;20:37:02.0000000000;31652
2013/U541/1/U5414B1.laz;2017-06-20;21:04:47.0000000000;32984
2011/T434/1/T4343H1.laz;2017-06-20;19:02:19.0000000000;51516
2011/L324/1/L3244E1.laz;2017-06-20;18:25:28.0000000000;39248
2012/Q433/1/Q4333F3.laz;2017-06-20;19:57:43.0000000000;375796
2013/V344/1/V3444C1_added_pts.laz;2017-06-20;21:05:26.0000000000;4
2008/L434/1/L4341A2.laz;2017-06-20;16:38:47.0000000000;27184
2014/M512/1/M5122G4_added_pts.laz;2017-06-20;21:14:44.0000000000;4
2011/Q442/1/Q4422E4.laz;2017-06-20;18:44:24.0000000000;42372
2015/U514/1/U5144C3_added_pts.laz;2017-06-20;22:21:29.0000000000;16
2013/N411/1/N4111D2.laz;2017-06-20;20:40:26.0000000000;34468
2009/M513/1/M5134F3.laz;2017-06-20;17:05:06.0000000000;48892
2013/N413/1/N4132B4.laz;2017-06-20;20:44:30.0000000000;26968
